,Stock,Fast_MA,Slow_MA,Return
567,AMICA,95,96,"1987,060124"
324,AMICA,50,51,"1700,950321"
742,AMICA,145,146,"1503,583067"
469,AMICA,75,76,"1305,418933"
356,AMICA,55,61,"1254,030134"
385,AMICA,60,61,"1252,436374"
177,AMICA,25,141,"1229,904592"
470,AMICA,75,81,"1218,987336"
754,AMICA,150,151,"1198,188768"
326,AMICA,50,61,"1192,700257"
294,AMICA,45,56,"1152,099221"
357,AMICA,55,66,"1105,790532"
729,AMICA,140,141,"1098,817832"
775,AMICA,160,161,"1097,024852"
327,AMICA,50,66,"1082,053469"
387,AMICA,60,71,"1067,400838"
312,AMICA,45,146,"1066,046142"
141,AMICA,20,141,"1057,16093"
792,AMICA,170,171,"1054,750368"
103,AMICA,15,136,"1051,204252"
142,AMICA,20,146,"1050,596631"
104,AMICA,15,141,"1042,21943"
229,AMICA,35,56,"1032,368001"
296,AMICA,45,66,"1018,482367"
295,AMICA,45,61,"1016,769075"
279,AMICA,40,141,"1016,22122"
386,AMICA,60,66,"1015,055783"
414,AMICA,65,66,"1009,54735"
496,AMICA,80,86,"999,974829"
102,AMICA,15,131,"996,139844"
274,AMICA,40,116,"992,464235"
211,AMICA,30,136,"981,148539"
249,AMICA,35,156,"981,118656"
212,AMICA,30,141,"976,656128"
210,AMICA,30,131,"974,843226"
715,AMICA,135,136,"974,833265"
214,AMICA,30,151,"973,827204"
178,AMICA,25,146,"971,825043"
443,AMICA,70,76,"965,778716"
247,AMICA,35,146,"959,194495"
215,AMICA,30,156,"955,747989"
159,AMICA,25,51,"950,219634"
684,AMICA,125,126,"941,882277"
442,AMICA,70,71,"936,762323"
293,AMICA,45,51,"931,771862"
139,AMICA,20,131,"931,761901"
176,AMICA,25,136,"919,639364"
261,AMICA,40,51,"918,463966"
105,AMICA,15,146,"912,318029"
248,AMICA,35,151,"909,578754"
415,AMICA,65,71,"907,825618"
226,AMICA,35,41,"903,512505"
246,AMICA,35,141,"898,233175"
245,AMICA,35,136,"886,658493"
213,AMICA,30,146,"881,199865"
192,AMICA,30,41,"843,348065"
156,AMICA,25,36,"839,054874"
700,AMICA,130,131,"837,81971"
140,AMICA,20,136,"835,548602"
520,AMICA,85,86,"833,885115"
194,AMICA,30,51,"828,406565"
179,AMICA,25,151,"809,879105"
193,AMICA,30,46,"809,789456"
158,AMICA,25,46,"805,277123"
765,AMICA,155,156,"802,966171"
292,AMICA,45,46,"799,698963"
262,AMICA,40,56,"775,384162"
259,AMICA,40,41,"774,657009"
191,AMICA,30,36,"732,83077"
675,AMICA,120,161,"713,277327"
260,AMICA,40,46,"689,00237"
157,AMICA,25,41,"664,448505"
263,AMICA,40,61,"661,041843"
230,AMICA,35,61,"615,231204"
190,AMICA,30,31,"593,207433"
667,AMICA,120,121,"590,48808"
195,AMICA,30,56,"560,774417"
227,AMICA,35,46,"556,949393"
784,AMICA,165,166,"534,447494"
328,AMICA,50,71,"532,893578"
544,AMICA,90,91,"485,807931"
332,AMICA,50,91,"484,30382"
228,AMICA,35,51,"483,945224"
718,AMICA,135,151,"470,019746"
358,AMICA,55,71,"448,035819"
154,AMICA,25,26,"428,781206"
79,AMICA,15,16,"426,779045"
800,AMICA,175,181,"412,933255"
300,AMICA,45,86,"396,836279"
225,AMICA,35,36,"360,309292"
641,AMICA,110,166,"344,331848"
36,AMICA,5,186,"332,647595"
325,AMICA,50,56,"317,168201"
267,AMICA,40,81,"310,833005"
334,AMICA,50,101,"309,209362"
301,AMICA,45,91,"290,134047"
360,AMICA,55,81,"289,038337"
444,AMICA,70,81,"286,568009"
705,AMICA,130,156,"278,240613"
389,AMICA,60,81,"273,100737"
270,AMICA,40,96,"272,313818"
719,AMICA,135,156,"268,767702"
521,AMICA,85,91,"266,486633"
806,AMICA,180,186,"265,699714"
717,AMICA,135,146,"261,237186"
302,AMICA,45,96,"249,074805"
272,AMICA,40,106,"245,130249"
638,AMICA,110,151,"242,94879"
690,AMICA,125,156,"234,093461"
298,AMICA,45,76,"232,141105"
796,AMICA,170,191,"223,52484"
35,AMICA,5,181,"216,103895"
167,AMICA,25,91,"213,514035"
101,AMICA,15,126,"210,67515"
730,AMICA,140,146,"207,268488"
304,AMICA,45,106,"206,481569"
388,AMICA,60,76,"205,714572"
794,AMICA,170,181,"205,146795"
801,AMICA,175,186,"204,688589"
42,AMICA,10,21,"197,098307"
335,AMICA,50,106,"196,082285"
175,AMICA,25,131,"195,962753"
299,AMICA,45,81,"189,537908"
271,AMICA,40,101,"188,123446"
759,AMICA,150,176,"185,095302"
127,AMICA,20,71,"184,686901"
20,AMICA,5,106,"183,232595"
238,AMICA,35,101,"182,435715"
476,AMICA,75,111,"182,027314"
818,AMICA,195,201,"181,628874"
242,AMICA,35,121,"178,550925"
303,AMICA,45,101,"178,331783"
160,AMICA,25,56,"175,054614"
204,AMICA,30,101,"171,398927"
39,AMICA,5,201,"169,874894"
206,AMICA,30,111,"166,916477"
26,AMICA,5,136,"164,784823"
495,AMICA,80,81,"163,320556"
234,AMICA,35,81,"159,196702"
313,AMICA,45,151,"158,270329"
653,AMICA,115,136,"157,114853"
359,AMICA,55,76,"155,79004"
137,AMICA,20,121,"155,740235"
241,AMICA,35,116,"154,285929"
362,AMICA,55,91,"153,3994"
60,AMICA,10,111,"147,82124"
642,AMICA,110,171,"144,942511"
704,AMICA,130,151,"141,924328"
757,AMICA,150,166,"135,678781"
130,AMICA,20,86,"132,630715"
537,AMICA,85,171,"132,192431"
207,AMICA,30,116,"130,857657"
143,AMICA,20,151,"128,586549"
282,AMICA,40,156,"126,215831"
243,AMICA,35,126,"126,116221"
815,AMICA,190,196,"123,695698"
420,AMICA,65,96,"120,637671"
739,AMICA,140,191,"117,699176"
760,AMICA,150,181,"116,404246"
802,AMICA,175,191,"114,073372"
699,AMICA,125,201,"113,784503"
330,AMICA,50,81,"109,481351"
307,AMICA,45,121,"108,624705"
25,AMICA,5,131,"106,712193"
725,AMICA,135,186,"102,050445"
336,AMICA,50,111,"100,157855"
744,AMICA,145,156,"97,926591"
502,AMICA,80,116,"97,71741"
361,AMICA,55,86,"97,587917"
500,AMICA,80,106,"97,408619"
85,AMICA,15,46,"97,358814"
712,AMICA,130,191,"96,711349"
258,AMICA,35,201,"96,681466"
366,AMICA,55,111,"96,153533"
169,AMICA,25,101,"96,103728"
740,AMICA,140,196,"95,396497"
390,AMICA,60,86,"91,810537"
674,AMICA,120,156,"88,662861"
670,AMICA,120,136,"88,294304"
24,AMICA,5,126,"87,198594"
205,AMICA,30,106,"86,909725"
392,AMICA,60,96,"85,833937"
790,AMICA,165,196,"85,56499"
391,AMICA,60,91,"85,435497"
698,AMICA,125,196,"84,708344"
713,AMICA,130,196,"84,36967"
297,AMICA,45,71,"84,100723"
720,AMICA,135,161,"83,164389"
283,AMICA,40,161,"82,726105"
707,AMICA,130,166,"82,387431"
586,AMICA,95,191,"77,486619"
266,AMICA,40,76,"77,018452"
144,AMICA,20,156,"76,819232"
365,AMICA,55,106,"75,823132"
738,AMICA,140,186,"74,199489"
37,AMICA,5,191,"71,898498"
743,AMICA,145,151,"70,195167"
714,AMICA,130,201,"70,175245"
726,AMICA,135,191,"70,12544"
311,AMICA,45,141,"69,607468"
706,AMICA,130,161,"67,724839"
692,AMICA,125,166,"66,310377"
257,AMICA,35,196,"66,180884"
643,AMICA,110,176,"65,204706"
364,AMICA,55,101,"65,015447"
275,AMICA,40,121,"64,527358"
254,AMICA,35,181,"64,328138"
808,AMICA,180,196,"60,453309"
306,AMICA,45,116,"60,214245"
565,AMICA,90,196,"56,97692"
727,AMICA,135,196,"56,927115"
525,AMICA,85,111,"56,429065"
811,AMICA,185,191,"55,861288"
264,AMICA,40,66,"54,7855"
122,AMICA,20,46,"53,550336"
138,AMICA,20,126,"53,321233"
662,AMICA,115,181,"51,677668"
564,AMICA,90,191,"51,050125"
812,AMICA,185,196,"49,745234"
331,AMICA,50,86,"48,868666"
171,AMICA,25,111,"48,500109"
268,AMICA,40,86,"47,922371"
100,AMICA,15,121,"44,645202"
209,AMICA,30,126,"44,436021"
538,AMICA,85,176,"42,224679"
333,AMICA,50,96,"42,075264"
172,AMICA,25,116,"42,03542"
646,AMICA,110,191,"41,656902"
516,AMICA,80,186,"40,162752"
721,AMICA,135,166,"39,774273"
722,AMICA,135,171,"39,236379"
658,AMICA,115,161,"36,925427"
166,AMICA,25,86,"35,929327"
97,AMICA,15,106,"35,371511"
644,AMICA,110,181,"34,455099"
807,AMICA,180,191,"33,887322"
518,AMICA,80,196,"33,708024"
728,AMICA,135,201,"33,56857"
363,AMICA,55,96,"32,164069"
797,AMICA,170,196,"30,331245"
716,AMICA,135,141,"29,68378"
273,AMICA,40,111,"29,046276"
78,AMICA,10,201,"28,976549"
81,AMICA,15,26,"28,319123"
767,AMICA,155,166,"27,532204"
269,AMICA,40,91,"26,725363"
196,AMICA,30,61,"26,536104"
773,AMICA,155,196,"26,277118"
710,AMICA,130,181,"25,241174"
136,AMICA,20,116,"24,60367"
723,AMICA,135,176,"24,543904"
770,AMICA,155,181,"24,314801"
696,AMICA,125,186,"24,294879"
628,AMICA,105,196,"24,20523"
772,AMICA,155,191,"24,045854"
256,AMICA,35,191,"23,896439"
804,AMICA,175,201,"23,458155"
582,AMICA,95,171,"23,298779"
515,AMICA,80,181,"22,9103"
94,AMICA,15,91,"22,780807"
731,AMICA,140,151,"22,681197"
541,AMICA,85,191,"22,432172"
447,AMICA,70,96,"20,868295"
505,AMICA,80,131,"20,669075"
305,AMICA,45,111,"20,111259"
265,AMICA,40,71,"19,483716"
678,AMICA,120,176,"19,055393"
498,AMICA,80,96,"18,069254"
791,AMICA,165,201,"15,957522"
546,AMICA,90,101,"14,861812"
606,AMICA,100,186,"12,301835"
763,AMICA,150,196,"11,564721"
798,AMICA,170,201,"11,295774"
788,AMICA,165,186,"11,216086"
278,AMICA,40,136,"11,05671"
659,AMICA,115,166,"10,907295"
563,AMICA,90,186,"10,45905"
284,AMICA,40,166,"9,014705"
473,AMICA,75,96,"8,237747"
625,AMICA,105,181,"8,018605"
639,AMICA,110,156,"7,86919"
542,AMICA,85,196,"7,550438"
750,AMICA,145,186,"7,450828"
691,AMICA,125,161,"7,092232"
647,AMICA,110,196,"6,962739"
93,AMICA,15,86,"6,514494"
689,AMICA,125,151,"6,285391"
255,AMICA,35,186,"3,167598"
426,AMICA,65,126,"2,769158"
782,AMICA,160,196,"1,29493"
585,AMICA,95,186,"0,428323"
393,AMICA,60,101,"-0,717192"
556,AMICA,90,151,"-0,826763"
280,AMICA,40,146,"-2,261147"
752,AMICA,145,196,"-4,472489"
451,AMICA,70,116,"-4,532255"
809,AMICA,180,201,"-7,161959"
475,AMICA,75,106,"-7,759619"
776,AMICA,160,166,"-7,819385"
511,AMICA,80,161,"-8,108254"
588,AMICA,95,201,"-9,901234"
244,AMICA,35,131,"-11,435228"
749,AMICA,145,181,"-11,923317"
148,AMICA,20,176,"-11,943239"
235,AMICA,35,86,"-12,232108"
566,AMICA,90,201,"-12,35164"
648,AMICA,110,201,"-12,401445"
575,AMICA,95,136,"-13,905556"
672,AMICA,120,146,"-14,712397"
732,AMICA,140,156,"-14,881734"
805,AMICA,180,181,"-15,160642"
322,AMICA,45,196,"-15,429589"
286,AMICA,40,176,"-16,395806"
803,AMICA,175,196,"-16,9337"
517,AMICA,80,191,"-17,053232"
490,AMICA,75,181,"-17,870034"
236,AMICA,35,91,"-18,378045"
109,AMICA,15,166,"-18,617109"
368,AMICA,55,121,"-19,404028"
741,AMICA,140,201,"-19,443872"
605,AMICA,100,181,"-19,852273"
422,AMICA,65,106,"-20,758724"
220,AMICA,30,181,"-20,977866"
218,AMICA,30,171,"-20,987827"
514,AMICA,80,176,"-21,954044"
753,AMICA,145,201,"-22,292718"
494,AMICA,75,201,"-23,099559"
340,AMICA,50,131,"-23,129442"
774,AMICA,155,201,"-23,637453"
789,AMICA,165,191,"-23,667336"
189,AMICA,25,201,"-24,085698"
660,AMICA,115,171,"-24,454255"
629,AMICA,105,201,"-24,454255"
666,AMICA,115,201,"-24,812851"
421,AMICA,65,101,"-26,615792"
587,AMICA,95,196,"-26,785129"
135,AMICA,20,111,"-28,129864"
221,AMICA,30,186,"-29,265418"
513,AMICA,80,171,"-29,733585"
813,AMICA,185,201,"-29,823234"
487,AMICA,75,166,"-29,823234"
608,AMICA,100,196,"-29,892961"
761,AMICA,150,186,"-30,18183"
640,AMICA,110,161,"-30,261518"
485,AMICA,75,156,"-30,998632"
315,AMICA,45,161,"-32,253718"
687,AMICA,125,141,"-32,711924"
281,AMICA,40,151,"-35,849639"
454,AMICA,70,131,"-36,028937"
545,AMICA,90,96,"-36,526987"
764,AMICA,150,201,"-36,586753"
737,AMICA,140,181,"-36,646519"
253,AMICA,35,176,"-36,676402"
657,AMICA,115,156,"-36,706285"
785,AMICA,165,171,"-36,925427"
493,AMICA,75,196,"-37,174452"
501,AMICA,80,111,"-37,483243"
445,AMICA,70,86,"-37,981293"
624,AMICA,105,176,"-38,399655"
164,AMICA,25,76,"-38,588914"
540,AMICA,85,186,"-38,987354"
396,AMICA,60,116,"-39,405716"
133,AMICA,20,101,"-39,724468"
345,AMICA,50,156,"-39,863922"
762,AMICA,150,191,"-40,591075"
519,AMICA,80,201,"-40,770373"
697,AMICA,125,191,"-41,168813"
338,AMICA,50,121,"-41,178774"
486,AMICA,75,161,"-41,178774"
816,AMICA,190,201,"-41,796356"
810,AMICA,185,186,"-43,250662"
489,AMICA,75,176,"-44,107308"
637,AMICA,110,146,"-44,167074"
543,AMICA,85,201,"-44,8245"
252,AMICA,35,171,"-45,143252"
38,AMICA,5,196,"-45,262784"
441,AMICA,65,201,"-46,109469"
482,AMICA,75,141,"-47,11553"
237,AMICA,35,96,"-47,135452"
75,AMICA,10,186,"-47,723151"
758,AMICA,150,171,"-47,792878"
289,AMICA,40,191,"-49,376677"
146,AMICA,20,166,"-49,476287"
399,AMICA,60,131,"-51,309111"
378,AMICA,55,171,"-51,7972"
688,AMICA,125,146,"-53,042325"
510,AMICA,80,156,"-53,500531"
339,AMICA,50,126,"-53,799361"
288,AMICA,40,186,"-55,751717"
291,AMICA,40,201,"-56,568519"
80,AMICA,15,21,"-56,757778"
145,AMICA,20,161,"-56,947037"
115,AMICA,15,196,"-57,564619"
417,AMICA,65,81,"-59,188262"
134,AMICA,20,106,"-59,337677"
607,AMICA,100,191,"-59,437287"
163,AMICA,25,71,"-59,835727"
129,AMICA,20,81,"-60,782022"
484,AMICA,75,151,"-63,05313"
250,AMICA,35,161,"-63,471492"
539,AMICA,85,181,"-66,350221"
370,AMICA,55,131,"-66,579324"
217,AMICA,30,166,"-66,798466"
308,AMICA,45,126,"-67,087335"
149,AMICA,20,181,"-68,601407"
683,AMICA,120,201,"-69,268794"
709,AMICA,130,176,"-69,717039"
419,AMICA,65,91,"-70,085596"
645,AMICA,110,186,"-70,145362"
151,AMICA,20,191,"-71,450253"
610,AMICA,105,106,"-71,689317"
656,AMICA,115,151,"-71,798888"
474,AMICA,75,101,"-71,938342"
240,AMICA,35,111,"-72,91452"
528,AMICA,85,126,"-74,478397"
233,AMICA,35,76,"-75,673717"
